题目,A,B,C,D,正确答案
数码暴龙第一季的主题曲叫什么？,Waterfly,Butterfly,Applejuice,Butterrun,B
《Code Geass 反叛的鲁路修》中日本被不列颠帝国改称为什么？,22区,33区,11区,-1区,C
创价学会御本尊(4代目)的sm号是多少？,pm981,sm961,sm2333333,sm6999999,D
机动战士高达中的牛高型号是？,RX-93,APTX-4869,RTX-2080,XS-Max,A
以下哪部作品出品时间最早？,四驱兄弟,飞跃巅峰,千与千寻,中华小当家,B
"被称为LOL的游戏是什么？",王者荣耀,笑话模拟器,恶棍联盟,英雄联盟,D
寒蝉里龙宫礼奈惯用的武器是？,柴刀,菜刀,水果刀,铅笔刀,A
《魔法少女小圆》中小圆的配音是谁？,斋藤千和,喜多村英梨,加藤鹰美丽,悠木碧,D
去除掉头和尾巴的马达加斯加蟑螂是什么味道？,鸡肉味，嘎嘣脆,金克拉,巧克力味,鼻屎味,A
《北斗神拳》主角健在师兄弟4人中排行第几？,老大,老二,老三,老四,C
《哆啦A梦》中多啦A梦是从什么时代来的？,19世纪,20世纪,21世纪,22世纪,D
《海贼王》的作者是谁？,尾田荣一郎,青山刚昌,臼井义人,樱桃子,A
《新世纪福音战士》中的凌波丽的配音是谁？,绪方惠美,林原惠,三石琴乃,吉泽明步,B
以下哪一个是“完全数”？,7,233,496,1024,C
“这个时候只要微笑就可以了”这句经典台词出自于那部动画？,《新世纪福音战士》,《上世纪福音战士》,《高智能方程式》,《低智能方程式》,A
《我的朋友很少》中邻人部第一次和宿所吃的晚饭是？,地狱拉面,地狱火锅,重庆火锅,四川火锅,B
T-34坦克Mod1939配备的主炮口径多大？,10.1mm,23.3mm,76.2mm,255.6mm,C
以下哪一部游戏作品不属于Galgame？,青空下的约定,白色相簿,心跳回忆,刺客_信条,D
动画《神奇宝贝》中基拉祈多少年醒来一次，并且每次醒来只维持多少天？,"1000, 7",1024,2048,4096,A
《暗黑破坏神2》中，1秒由多少帧组成？,24,25,60,144,B
烧红镍球放入水中会有什么现象？,心跳的感觉,鸡肉的味道,有奇妙的声音,糟糕的台词,C
“夜阑卧听风吹雨，铁马冰河入梦来”是谁的诗句？,李白,李黑,旅游,陆游,D
《名侦探柯南》中服部平次是哪里人？,大阪,米花,东京,京都,A
与宫崎骏常年合作的著名音乐家是谁？,大野克夫,久石让,高梨康治,丰浦由纪,B
《摇曳百合》中京子喜爱的冰淇淋口味是什么？,可口可乐无糖,烧仙草珍珠,朗姆酒葡萄干,吱吱芒芒,C
杀手47的后脑勺上有什么？,条形码,二维码,自然码,郑码,A
身为纯爷们，绝对从不回头看什么,作弊,吃饭,爆炸,美女,C
初音未来的音源提供者是哪个声优？,藤田咲,钉宫理惠,水树奈奈,花泽香菜,A
著名电子游戏《上古卷轴》是由哪家公司开发的？,Capcom,Bethesda,EA,Tencent,B
"石蕗惠汰,羽濑川小鹰,须贺京太郎,大路饼藏四人的共同点包括",都是女孩子,都拍过电影,都是男孩子,都唱歌好听,C
圣斗士星矢的看家技能是？,天马流星拳,排山倒海,葵花点穴手,子曾经曰过,A
魔兽世界里的联盟英雄吉安娜是什么职业？,骑士,法师,武僧,术士,B
谁被称为日本动画界的黑泽明？,新海诚,青山刚昌,宫崎骏,北野武,C
虽然我可爱又迷人，但我会招来__？,桃花,死亡,钱财,好运,B
动漫11区指哪里？,中国,韩国,美国,日本,D
暴走漫画的男主角一般都叫什么？,王尼玛,木子,纸巾,马云,A
傅里叶级数是傅里叶在研究哪种物理现象时提出的？,光电效应,丁达尔效应,热传导,尺缩效应,C
阿姆斯特朗回旋加速喷气式阿姆斯特朗炮“的名字出自哪部动漫？,《名侦探柯南》,《魔法少女小圆》,《干物妹小埋》,《银魂》,D
火影忍者中4代火影和主角鸣人是什么关系？,父子,母女,兄妹,师徒,A
dota是哪个游戏的地图？,星际争霸,魔兽争霸,英雄联盟,星战前夜,B
在《死亡笔记》中，是谁杀死了夜神月？,贝塔,鸣人,硫克,柯南,C
以下哪一个游戏在早期2D时代的第一部作品不是俯视角？,银河战士,塞尔达传说,Pong,马里奥,A
是谁提出“感应电流的磁场总是要阻碍引起感应电流的磁通量的变化？,楞次,安培,爱迪生,爱因斯坦,A
动漫《火影忍者》中，宇智波佐助所拥有的瞳术的名字是？,写字笔,写轮眼,透视术,读心术,B
《轻音少女》动画中，活动室里养的动物是？,青蛙,蜥蜴,乌龟,恐龙,C
以下哪一款RPG(角色扮演游戏)属于WRPG(欧美角色扮演游戏)？,八方旅人,博德之门,大富翁,勇者斗恶龙,B
某万事屋老板的名字是？,坂田银时,神乐,定春,伊丽莎白,A
《某科学超电磁炮》中 御坂美琴的硬币大约能打多少米？,1米,5米,50米,10000米,C
世界第一公主殿下是谁？,干物妹小埋,初音未来,爱歌姬,时崎狂三,B
哔哩哔哩是什么类型的网站？,同性交友,种子分享,弹幕视频,互动游戏,C
《穿越火线》由国内哪家公司代理运营？,腾讯,网易,阿里,盛大,A
下列各项不属于电脑操作系统的是？,Winxp,S60,OSX,Solaris,B
国际标准化组织ISO制定的OSI模型中，路由器工作在哪一层？,IP层,物理层,网络层,应用层,C
由Nintendo公司发售的8位游戏机的名称缩写是什么？,NS,FC,NDS,GC,B
团长的名字是？,初音未来,李云龙,大耳朵图图,凉宫春日,D
"当PCl5 = PCl3 +Cl2的化学平衡常数Kc=1.8M时，在0.5L的容器中加入0.15molPCl5,求平衡后Cl2的浓度？",0.1M,3.14M,233M,0.26M,D
“我的这把刀可是涂满了毒药的毒刃”出自于哪部作品？,勇者斗恶龙,龙与地下城,蜡笔小新,勇士闯魔城,D
下列动画作品中，那一部是由京都动画公司制作的？,幸运星,龙猫,天空之城,千与千寻,A
在缩写“ACG”中字母“G”代表什么？,Game,Gay,Grow,Guess,A
在动漫《叛逆的鲁路修》中，C.C.的头发的颜色是？,红色,绿色,桔色,彩虹色,B
3dmax中旋转视图按哪个键？,alt+鼠标右键,alt+空格键,回车键,alt+鼠标中键,D
以下哪个不是鬼畜全明星成员？,金凯瑞,诸葛亮,元首,葛平,A
我国4个直辖市中哪个面积最大？,上海,深圳,重庆,成都,C
葛平的职业是？,配音演员,搞笑艺人,相声演员,导演,A
夏目友人帐中的猫咪老师(斑)被动漫爱好者称呼为？,娘口三三,小白,小黑,小绿,A
元首曾经去过中国的哪个省份？,四川省,河北省,辽阳省,台湾省,B
官方逼死了谁？,同人,黑人,铁人,他自己,A
“不要叫我大王，要叫我_______!” 空缺处填？,女王大人,海贼王,大王八,二葱,A
FFF团作为一种自发组织的民间团体主要活动形式是？,上课听讲,勤劳工作,烧死情侣,上街游行,C
以下哪个不是国产游戏？,空之轨迹,恋与制作人,仙剑奇侠转,古剑奇谭,A
一部动漫名称，《XXXX的忧郁》，XXXX应为？,石原里美,桥本环奈,凉宫春日,斋藤飞鸟,C
金坷垃三人组里的非洲人叫什么名字？,斋藤队长,伊藤队长,西仙队长,东仙队长,D
《Love Live!》中的小泉花阳最喜欢的食物是？,白米饭,三文鱼,汉堡包,重庆火锅,A
NTSC制式的视频帧率是？,24fps,30fps,60fps,144fps,B
“今天的风儿好喧嚣啊”的出处？,男子高中生的日常,地狱少女,爱丽丝学园,灼眼的夏娜,A
以下不是光色三原色的是？,红色,绿色,黄色,蓝色,B
高达的英文缩写是？,GUNDAN,GANDON,GUNDAM,GUNTAM,C
蒙奇· D · 路飞出自哪个作品？,蒙娜丽莎,名侦探柯南,蜡笔小新,海贼王,D
“给我一个支点，我可以撬动地球”这句话是谁说的？,阿基米德,亚里士多德,柏拉图,苏格拉底,A
《英雄联盟》中盖伦是哪个势力的？,艾欧尼亚,班德尔城,德玛西亚,祖安,C
春秋战国时期，哪家学说的主张是“兼爱”“非攻”？,法家,墨家,儒家,道家,B
《未来日记》中女主叫什么名字？,我妻没乃,井上杏美,我妻由乃,井上不美,C
路飞的爷爷是？,陆军,空军,将军,海军,D
下列哪个不是最早的“讲卫生除四害”之中的“四害”？,苍蝇,麻雀,蟑螂,老鼠,C
中国的第一艘航空母舰叫什么名字？,北京号,深圳号,集结号,辽宁号,D
光线是波动，也是( )？,食物,粒子,饮料,虚无,B
"有一种比女孩子还可爱的男孩子,他们替路西法做收割(....)的工作. (两字中文)",血液,爱情,灵魂,知识,C
"如同预想的一样 这句话减缩意思可以用哪三个字表达？(中文三字)",别摸我,打酱油,喝凉水,计划通,D
金坷拉的公司总部在美国(.....)？(四字中文),圣地亚哥,亚历山大,菲尼克斯,加利福尼,A
这么可爱!一定是(....)(三字中文),女孩子,人妖,小孩子,男孩子,D
╮（￣▽￣）╭ <这个表情是什么文字？ (三字中文),颜文字,大表情,QQ秀,不知道,A
凌波丽的微笑被称为？(中文5字),女友的微笑,女神的微笑,大妈的微笑,神秘的微笑,B
"奥林帕斯山是珠穆朗玛峰的三倍高,请问它坐落于哪？(两字中文)",西藏,印度,火星,北极,C
你是否愿意为这个宇宙付出你的一切(╮（￣▽￣）╭),不愿意,有可能,去死吧,是,D
从前我和你一样也是是一名冒险家，直到我(....)中了一箭(两字中文),膝盖,脑门,胳膊,脚后跟,A
不罗利一直在苦心寻找的卡卡罗特是谁？ (3字中文),猪八戒,小丸子,希特勒,孙悟空,D
"无论多高的地方跳下,只要有稻草堆就不会受伤的技能是？(四字中文)",信仰之跃,圣光祝福,天使治愈,德玛西亚,A
已知A星球是B星球质量的2700倍，A与C距离为400光年，B与C距离为1光年，求A-C与B-C的引力比例(格式 1/100),1/3,1/6,1/4,1/5,B
处于食物链顶端吃什么都嘎蹦脆鸡肉味的人型生命体叫？(两字中文),老鹰,虾米,贝爷,鸡,C
"拯救世界和毁灭世界的少年少女们都普遍患有一种疾病,这种疾病叫？ (三字中文)",中二病,神经病,妄想症,饥饿症,A
御阪美琴又被称为？ (四字小写英文),avfun,niconico,bilibili,pilipala,C
"用了金柯拉,小麦亩产(？？？) (半角数字)",1700,1600,2000,1800,D
"在网上喜欢恶意卖萌的不一定就是软妹子,也有可能是(....) (中文四字)",抠脚大汉,三和大神,软萌少女,性感荷官,A
元首到了中国的什么省份学会了中文？ (三字中文),西川省,河北省,广东省,辽宁省,B
屏蔽广告的上辈子都是折翼的(...) (两字中文),苍蝇,果蝇,二狗,天使,D
"x(124-x)=1243 x为多少？ (2个解,用半角逗号(,)分隔)","11,113","23,333",314,1984,A
"在JOJO世界里,喊出the world会发生什么？(四个中文)",天旋地转,时间暂停,时间倒转,排山倒海,B
元首的爱人永远都是(...)! (中文三字),毛泽东,伊娃,斯大林,罗斯福,C
"有一种喜欢卖萌的外星人,当人类被它们萌到的时候,他们会想愚蠢的人类啊,问这是什么外星人？ (三字中文)",哇行人,汪星人,火星人,喵星人,D
杨教授的敌人是？,垃圾食品,学习,家长,网魔,D
"武功再高,也怕？？(刀塔相关)",羊刀,菜刀,手枪,弓箭,B
世界第一的公主殿下是？(4字母),cona,miku,pazu,lbxx,B
宇宙的形状是像什么一样的？,面条,尺子,棒子,盘子,C
